"","continent","year","energy_type","meanconsmp"
"59","Africa",1984,"nuclear",NA
"60","Africa",1984,"renewable",NA
"61","Africa",1985,"coal",NA
"62","Africa",1985,"nuclear",NA
"63","Africa",1985,"renewable",NA
"64","Africa",1986,"coal",NA
"65","Africa",1986,"nuclear",NA
"66","Africa",1986,"renewable",NA
"67","Africa",1987,"coal",NA
"68","Africa",1987,"nuclear",NA
"69","Africa",1987,"renewable",NA
"70","Africa",1988,"coal",NA
"71","Africa",1988,"nuclear",NA
"72","Africa",1988,"renewable",NA
"73","Africa",1989,"coal",NA
"74","Africa",1989,"nuclear",NA
"75","Africa",1989,"renewable",NA
"76","Africa",1990,"coal",NA
"77","Africa",1990,"nuclear",NA
"78","Africa",1990,"renewable",NA
"79","Africa",1991,"coal",NA
"80","Africa",1991,"nuclear",NA
"81","Africa",1991,"renewable",NA
"82","Africa",1992,"coal",NA
"83","Africa",1992,"nuclear",NA
"84","Africa",1992,"renewable",NA
"85","Africa",1993,"coal",NA
"86","Africa",1993,"nuclear",NA
"87","Africa",1993,"renewable",NA
"88","Africa",1994,"coal",NA
"89","Africa",1994,"nuclear",NA
"90","Africa",1994,"renewable",NA
"91","Africa",1995,"coal",NA
"92","Africa",1995,"nuclear",NA
"93","Africa",1995,"renewable",NA
"94","Africa",1996,"coal",NA
"95","Africa",1996,"nuclear",NA
"96","Africa",1996,"renewable",NA
"97","Africa",1997,"coal",NA
"98","Africa",1997,"nuclear",NA
"99","Africa",1997,"renewable",NA
"100","Africa",1998,"coal",NA
"101","Africa",1998,"nuclear",NA
"102","Africa",1998,"renewable",NA
"103","Africa",1999,"coal",NA
"104","Africa",1999,"nuclear",NA
"105","Africa",1999,"renewable",NA
"106","Africa",2000,"coal",NA
"107","Africa",2000,"nuclear",NA
"108","Africa",2000,"renewable",NA
"109","Africa",2001,"coal",NA
"110","Africa",2001,"nuclear",NA
"111","Africa",2001,"renewable",NA
"112","Africa",2002,"coal",NA
"113","Africa",2002,"nuclear",NA
"114","Africa",2002,"renewable",NA
"115","Africa",2003,"coal",NA
"116","Africa",2003,"nuclear",NA
"117","Africa",2003,"renewable",NA
"118","Africa",2004,"coal",NA
"119","Africa",2004,"nuclear",NA
"120","Africa",2004,"renewable",NA
"121","Africa",2005,"coal",NA
"122","Africa",2005,"nuclear",NA
"123","Africa",2005,"renewable",NA
"124","Africa",2006,"coal",NA
"125","Africa",2006,"nuclear",NA
"126","Africa",2006,"renewable",NA
"127","Africa",2007,"coal",NA
"128","Africa",2007,"nuclear",NA
"129","Africa",2007,"renewable",NA
"130","Africa",2008,"coal",NA
"131","Africa",2008,"nuclear",NA
"132","Africa",2008,"renewable",NA
"133","Africa",2009,"coal",NA
"134","Africa",2009,"nuclear",NA
"135","Africa",2009,"renewable",NA
"136","Africa",2010,"coal",NA
"137","Africa",2010,"nuclear",NA
"138","Africa",2010,"renewable",NA
"139","Africa",2011,"coal",NA
"140","Africa",2011,"nuclear",NA
"141","Africa",2011,"renewable",NA
"142","Africa",2012,"coal",NA
"143","Africa",2012,"nuclear",NA
"144","Africa",2012,"renewable",NA
"145","Africa",2013,"coal",NA
"146","Africa",2013,"nuclear",NA
"147","Africa",2013,"renewable",NA
"148","Africa",2014,"coal",NA
"149","Africa",2014,"nuclear",NA
"150","Africa",2014,"renewable",NA
"151","Africa",2015,"coal",NA
"152","Africa",2015,"nuclear",NA
"153","Africa",2015,"renewable",NA
"154","Africa",2016,"coal",NA
"155","Africa",2016,"nuclear",NA
"156","Africa",2016,"renewable",NA
"157","Africa",2017,"coal",275.2205
"158","Africa",2017,"nuclear",9.84775
"159","Africa",2017,"renewable",20.3405
"160","Africa",2018,"coal",283.832
"161","Africa",2018,"nuclear",6.891
"162","Africa",2018,"renewable",23.0745
"163","Africa",2019,"coal",291.45375
"164","Africa",2019,"nuclear",8.79925
"165","Africa",2019,"renewable",25.73275
"166","Africa",NA,"coal",NA
"167","Africa",NA,"nuclear",NA
"168","Africa",NA,"renewable",NA
"169","Americas",1965,"coal",316.228454545455
"170","Americas",1965,"nuclear",1.00436363636364
"171","Americas",1965,"renewable",95.3884545454546
"172","Americas",1966,"coal",330.258636363636
"173","Americas",1966,"nuclear",1.51072727272727
"174","Americas",1966,"renewable",100.221454545455
"175","Americas",1967,"coal",324.842454545455
"176","Americas",1967,"nuclear",2.07354545454545
"177","Americas",1967,"renewable",108.701454545455
"178","Americas",1968,"coal",336.554181818182
"179","Americas",1968,"nuclear",3.56209090909091
"180","Americas",1968,"renewable",110.990636363636
"181","Americas",1969,"coal",337.812
"182","Americas",1969,"nuclear",3.83581818181818
"183","Americas",1969,"renewable",122.993090909091
"184","Americas",1970,"coal",336.946636363636
"185","Americas",1970,"nuclear",6.05790909090909
"186","Americas",1970,"renewable",127.069181818182
"187","Americas",1971,"coal",318.965636363636
"188","Americas",1971,"nuclear",11.2063636363636
"189","Americas",1971,"renewable",134.589545454545
"190","Americas",1972,"coal",330.120272727273
"191","Americas",1972,"nuclear",16.1992727272727
"192","Americas",1972,"renewable",144.340727272727
"193","Americas",1973,"coal",353.663727272727
"194","Americas",1973,"nuclear",26.0421818181818
"195","Americas",1973,"renewable",150.542909090909
"196","Americas",1974,"coal",346.955272727273
"197","Americas",1974,"nuclear",34.2693636363636
"198","Americas",1974,"renewable",165.653
"199","Americas",1975,"coal",347.156636363636
"200","Americas",1975,"nuclear",49.6645454545455
"201","Americas",1975,"renewable",165.208272727273
"202","Americas",1976,"coal",373.044818181818
"203","Americas",1976,"nuclear",55.8459090909091
"204","Americas",1976,"renewable",168.383454545455
"205","Americas",1977,"coal",388.853363636364
"206","Americas",1977,"nuclear",73.7541818181818
"207","Americas",1977,"renewable",158.463363636364
"208","Americas",1978,"coal",381.294818181818
"209","Americas",1978,"nuclear",82.083
"210","Americas",1978,"renewable",180.598818181818
"211","Americas",1979,"coal",413.009272727273
"212","Americas",1979,"nuclear",77.4109090909091
"213","Americas",1979,"renewable",188.926
"214","Americas",1980,"coal",NA
"215","Americas",1980,"nuclear",NA
"216","Americas",1980,"renewable",NA
"217","Americas",1981,"coal",NA
"218","Americas",1981,"nuclear",NA
"219","Americas",1981,"renewable",NA
"220","Americas",1982,"coal",NA
"221","Americas",1982,"nuclear",NA
"222","Americas",1982,"renewable",NA
"223","Americas",1983,"coal",NA
"224","Americas",1983,"nuclear",NA
"225","Americas",1983,"renewable",NA
"226","Americas",1984,"coal",NA
"227","Americas",1984,"nuclear",NA
"228","Americas",1984,"renewable",NA
"229","Americas",1985,"coal",NA
"230","Americas",1985,"nuclear",NA
"231","Americas",1985,"renewable",NA
"232","Americas",1986,"coal",NA
"233","Americas",1986,"nuclear",NA
"234","Americas",1986,"renewable",NA
"235","Americas",1987,"coal",NA
"236","Americas",1987,"nuclear",NA
"237","Americas",1987,"renewable",NA
"238","Americas",1988,"coal",NA
"239","Americas",1988,"nuclear",NA
"240","Americas",1988,"renewable",NA
"241","Americas",1989,"coal",NA
"242","Americas",1989,"nuclear",NA
"243","Americas",1989,"renewable",NA
"244","Americas",1990,"coal",NA
"245","Americas",1990,"nuclear",NA
"246","Americas",1990,"renewable",NA
"247","Americas",1991,"coal",NA
"248","Americas",1991,"nuclear",NA
"249","Americas",1991,"renewable",NA
"250","Americas",1992,"coal",NA
"251","Americas",1992,"nuclear",NA
"252","Americas",1992,"renewable",NA
"253","Americas",1993,"coal",NA
"254","Americas",1993,"nuclear",NA
"255","Americas",1993,"renewable",NA
"256","Americas",1994,"coal",NA
"257","Americas",1994,"nuclear",NA
"258","Americas",1994,"renewable",NA
"259","Americas",1995,"coal",NA
"260","Americas",1995,"nuclear",NA
"261","Americas",1995,"renewable",NA
"262","Americas",1996,"coal",NA
"263","Americas",1996,"nuclear",NA
"264","Americas",1996,"renewable",NA
"265","Americas",1997,"coal",NA
"266","Americas",1997,"nuclear",NA
"267","Americas",1997,"renewable",NA
"268","Americas",1998,"coal",NA
"269","Americas",1998,"nuclear",NA
"270","Americas",1998,"renewable",NA
"271","Americas",1999,"coal",NA
"272","Americas",1999,"nuclear",NA
"273","Americas",1999,"renewable",NA
"274","Americas",2000,"coal",NA
"275","Americas",2000,"nuclear",NA
"276","Americas",2000,"renewable",NA
"277","Americas",2001,"coal",NA
"278","Americas",2001,"nuclear",NA
"279","Americas",2001,"renewable",NA
"280","Americas",2002,"coal",NA
"281","Americas",2002,"nuclear",NA
"282","Americas",2002,"renewable",NA
"283","Americas",2003,"coal",NA
"284","Americas",2003,"nuclear",NA
"285","Americas",2003,"renewable",NA
"286","Americas",2004,"coal",NA
"287","Americas",2004,"nuclear",NA
"288","Americas",2004,"renewable",NA
"289","Americas",2005,"coal",NA
"290","Americas",2005,"nuclear",NA
"291","Americas",2005,"renewable",NA
"292","Americas",2006,"coal",NA
"293","Americas",2006,"nuclear",NA
"294","Americas",2006,"renewable",NA
"295","Americas",2007,"coal",NA
"296","Americas",2007,"nuclear",NA
"297","Americas",2007,"renewable",NA
"298","Americas",2008,"coal",NA
"299","Americas",2008,"nuclear",NA
"300","Americas",2008,"renewable",NA
"301","Americas",2009,"coal",NA
"302","Americas",2009,"nuclear",NA
"303","Americas",2009,"renewable",NA
"304","Americas",2010,"coal",NA
"305","Americas",2010,"nuclear",NA
"306","Americas",2010,"renewable",NA
"307","Americas",2011,"coal",NA
"308","Americas",2011,"nuclear",NA
"309","Americas",2011,"renewable",NA
"310","Americas",2012,"coal",NA
"311","Americas",2012,"nuclear",NA
"312","Americas",2012,"renewable",NA
"313","Americas",2013,"coal",NA
"314","Americas",2013,"nuclear",NA
"315","Americas",2013,"renewable",NA
"316","Americas",2014,"coal",NA
"317","Americas",2014,"nuclear",NA
"318","Americas",2014,"renewable",NA
"319","Americas",2015,"coal",NA
"320","Americas",2015,"nuclear",NA
"321","Americas",2015,"renewable",NA
"322","Americas",2016,"coal",NA
"323","Americas",2016,"nuclear",NA
"324","Americas",2016,"renewable",NA
"325","Americas",2017,"coal",418.485727272727
"326","Americas",2017,"nuclear",222.868363636364
"327","Americas",2017,"renewable",498.035545454545
"328","Americas",2018,"coal",397.784636363636
"329","Americas",2018,"nuclear",222.733181818182
"330","Americas",2018,"renewable",511.294272727273
"331","Americas",2019,"coal",344.770272727273
"332","Americas",2019,"nuclear",222.489
"333","Americas",2019,"renewable",524.062181818182
"334","Americas",NA,"coal",NA
"335","Americas",NA,"nuclear",NA
"336","Americas",NA,"renewable",NA
"337","Asia",1965,"coal",103.281125
"338","Asia",1965,"nuclear",0.002875
"339","Asia",1965,"renewable",15.3245416666667
"340","Asia",1966,"coal",109.11425
"341","Asia",1966,"nuclear",0.0675833333333333
"342","Asia",1966,"renewable",16.033875
"343","Asia",1967,"coal",104.973208333333
"344","Asia",1967,"nuclear",0.0727916666666667
"345","Asia",1967,"renewable",14.8668333333333
"346","Asia",1968,"coal",106.104125
"347","Asia",1968,"nuclear",0.120833333333333
"348","Asia",1968,"renewable",16.65375
"349","Asia",1969,"coal",120.130166666667
"350","Asia",1969,"nuclear",0.209125
"351","Asia",1969,"renewable",17.31075
"352","Asia",1970,"coal",135.543625
"353","Asia",1970,"nuclear",0.681625
"354","Asia",1970,"renewable",17.776125
"355","Asia",1971,"coal",139.46412
"356","Asia",1971,"nuclear",1.00344
"357","Asia",1971,"renewable",18.73372
"358","Asia",1972,"coal",145.05588
"359","Asia",1972,"nuclear",1.17856
"360","Asia",1972,"renewable",19.39624
"361","Asia",1973,"coal",148.45956
"362","Asia",1973,"nuclear",1.33784
"363","Asia",1973,"renewable",17.96704
"364","Asia",1974,"coal",151.92296
"365","Asia",1974,"nuclear",2.44752
"366","Asia",1974,"renewable",20.54
"367","Asia",1975,"coal",164.469
"368","Asia",1975,"nuclear",3.0976
"369","Asia",1975,"renewable",22.1572
"370","Asia",1976,"coal",167.96992
"371","Asia",1976,"nuclear",4.13912
"372","Asia",1976,"renewable",22.7188
"373","Asia",1977,"coal",179.29928
"374","Asia",1977,"nuclear",3.77872
"375","Asia",1977,"renewable",22.23644
"376","Asia",1978,"coal",187.96636
"377","Asia",1978,"nuclear",7.41532
"378","Asia",1978,"renewable",23.44876
"379","Asia",1979,"coal",197.10416
"380","Asia",1979,"nuclear",9.14152
"381","Asia",1979,"renewable",25.45448
"382","Asia",1980,"coal",NA
"383","Asia",1980,"nuclear",NA
"384","Asia",1980,"renewable",NA
"385","Asia",1981,"coal",NA
"386","Asia",1981,"nuclear",NA
"387","Asia",1981,"renewable",NA
"388","Asia",1982,"coal",NA
"389","Asia",1982,"nuclear",NA
"390","Asia",1982,"renewable",NA
"391","Asia",1983,"coal",NA
"392","Asia",1983,"nuclear",NA
"393","Asia",1983,"renewable",NA
"394","Asia",1984,"coal",NA
"395","Asia",1984,"nuclear",NA
"396","Asia",1984,"renewable",NA
"397","Asia",1985,"coal",NA
"398","Asia",1985,"nuclear",NA
"399","Asia",1985,"renewable",NA
"400","Asia",1986,"coal",NA
"401","Asia",1986,"nuclear",NA
"402","Asia",1986,"renewable",NA
"403","Asia",1987,"coal",NA
"404","Asia",1987,"nuclear",NA
"405","Asia",1987,"renewable",NA
"406","Asia",1988,"coal",NA
"407","Asia",1988,"nuclear",NA
"408","Asia",1988,"renewable",NA
"409","Asia",1989,"coal",NA
"410","Asia",1989,"nuclear",NA
"411","Asia",1989,"renewable",NA
"412","Asia",1990,"coal",NA
"413","Asia",1990,"nuclear",NA
"414","Asia",1990,"renewable",NA
"415","Asia",1991,"coal",NA
"416","Asia",1991,"nuclear",NA
"417","Asia",1991,"renewable",NA
"418","Asia",1992,"coal",NA
"419","Asia",1992,"nuclear",NA
"420","Asia",1992,"renewable",NA
"421","Asia",1993,"coal",NA
"422","Asia",1993,"nuclear",NA
"423","Asia",1993,"renewable",NA
"424","Asia",1994,"coal",NA
"425","Asia",1994,"nuclear",NA
"426","Asia",1994,"renewable",NA
"427","Asia",1995,"coal",NA
"428","Asia",1995,"nuclear",NA
"429","Asia",1995,"renewable",NA
"430","Asia",1996,"coal",NA
"431","Asia",1996,"nuclear",NA
"432","Asia",1996,"renewable",NA
"433","Asia",1997,"coal",NA
"434","Asia",1997,"nuclear",NA
"435","Asia",1997,"renewable",NA
"436","Asia",1998,"coal",NA
"437","Asia",1998,"nuclear",NA
"438","Asia",1998,"renewable",NA
"439","Asia",1999,"coal",NA
"440","Asia",1999,"nuclear",NA
"441","Asia",1999,"renewable",NA
"442","Asia",2000,"coal",NA
"443","Asia",2000,"nuclear",NA
"444","Asia",2000,"renewable",NA
"445","Asia",2001,"coal",NA
"446","Asia",2001,"nuclear",NA
"447","Asia",2001,"renewable",NA
"448","Asia",2002,"coal",NA
"449","Asia",2002,"nuclear",NA
"450","Asia",2002,"renewable",NA
"451","Asia",2003,"coal",NA
"452","Asia",2003,"nuclear",NA
"453","Asia",2003,"renewable",NA
"454","Asia",2004,"coal",NA
"455","Asia",2004,"nuclear",NA
"456","Asia",2004,"renewable",NA
"457","Asia",2005,"coal",NA
"458","Asia",2005,"nuclear",NA
"459","Asia",2005,"renewable",NA
"460","Asia",2006,"coal",NA
"461","Asia",2006,"nuclear",NA
"462","Asia",2006,"renewable",NA
"463","Asia",2007,"coal",NA
"464","Asia",2007,"nuclear",NA
"465","Asia",2007,"renewable",NA
"466","Asia",2008,"coal",NA
"467","Asia",2008,"nuclear",NA
"468","Asia",2008,"renewable",NA
"469","Asia",2009,"coal",NA
"470","Asia",2009,"nuclear",NA
"471","Asia",2009,"renewable",NA
"472","Asia",2010,"coal",NA
"473","Asia",2010,"nuclear",NA
"474","Asia",2010,"renewable",NA
"475","Asia",2011,"coal",NA
"476","Asia",2011,"nuclear",NA
"477","Asia",2011,"renewable",NA
"478","Asia",2012,"coal",NA
"479","Asia",2012,"nuclear",NA
"480","Asia",2012,"renewable",NA
"481","Asia",2013,"coal",NA
"482","Asia",2013,"nuclear",NA
"483","Asia",2013,"renewable",NA
"484","Asia",2014,"coal",NA
"485","Asia",2014,"nuclear",NA
"486","Asia",2014,"renewable",NA
"487","Asia",2015,"coal",NA
"488","Asia",2015,"nuclear",NA
"489","Asia",2015,"renewable",NA
"490","Asia",2016,"coal",NA
"491","Asia",2016,"nuclear",NA
"492","Asia",2016,"renewable",NA
"493","Asia",2017,"coal",1124.12444827586
"494","Asia",2017,"nuclear",43.1287931034483
"495","Asia",2017,"renewable",214.88675862069
"496","Asia",2018,"coal",1152.82848275862
"497","Asia",2018,"nuclear",48.0815862068966
"498","Asia",2018,"renewable",233.464103448276
"499","Asia",2019,"coal",1177.69582758621
"500","Asia",2019,"nuclear",55.821
"501","Asia",2019,"renewable",258.117034482759
"502","Asia",NA,"coal",NA
"503","Asia",NA,"nuclear",NA
"504","Asia",NA,"renewable",NA
"505","Europe",1965,"coal",247.7825
"506","Europe",1965,"nuclear",2.27745833333333
"507","Europe",1965,"renewable",33.9719166666667
"508","Europe",1966,"coal",237.388083333333
"509","Europe",1966,"nuclear",2.98508333333333
"510","Europe",1966,"renewable",36.557375
"511","Europe",1967,"coal",230.257083333333
"512","Europe",1967,"nuclear",3.45766666666667
"513","Europe",1967,"renewable",36.4825416666667
"514","Europe",1968,"coal",233.581708333333
"515","Europe",1968,"nuclear",3.91345833333333
"516","Europe",1968,"renewable",37.676875
"517","Europe",1969,"coal",236.648708333333
"518","Europe",1969,"nuclear",4.75729166666667
"519","Europe",1969,"renewable",36.7400833333333
"520","Europe",1970,"coal",232.253916666667
"521","Europe",1970,"nuclear",5.15779166666667
"522","Europe",1970,"renewable",38.7273333333333
"523","Europe",1971,"coal",221.557541666667
"524","Europe",1971,"nuclear",5.887375
"525","Europe",1971,"renewable",39.0624166666667
"526","Europe",1972,"coal",213.733708333333
"527","Europe",1972,"nuclear",7.81404166666667
"528","Europe",1972,"renewable",40.3369583333333
"529","Europe",1973,"coal",216.96425
"530","Europe",1973,"nuclear",8.608625
"531","Europe",1973,"renewable",41.2583333333333
"532","Europe",1974,"coal",214.570625
"533","Europe",1974,"nuclear",10.113375
"534","Europe",1974,"renewable",44.17
"535","Europe",1975,"coal",208.933583333333
"536","Europe",1975,"nuclear",13.5020416666667
"537","Europe",1975,"renewable",45.002
"538","Europe",1976,"coal",218.7115
"539","Europe",1976,"nuclear",15.75225
"540","Europe",1976,"renewable",40.9902083333333
"541","Europe",1977,"coal",218.066708333333
"542","Europe",1977,"nuclear",18.6854583333333
"543","Europe",1977,"renewable",49.7260416666667
"544","Europe",1978,"coal",221.6605
"545","Europe",1978,"nuclear",21.0121666666667
"546","Europe",1978,"renewable",49.4976666666667
"547","Europe",1979,"coal",231.047625
"548","Europe",1979,"nuclear",23.4285
"549","Europe",1979,"renewable",51.9737083333333
"550","Europe",1980,"coal",NA
"551","Europe",1980,"nuclear",NA
"552","Europe",1980,"renewable",NA
"553","Europe",1981,"coal",NA
"554","Europe",1981,"nuclear",NA
"555","Europe",1981,"renewable",NA
"556","Europe",1982,"coal",NA
"557","Europe",1982,"nuclear",NA
"558","Europe",1982,"renewable",NA
"559","Europe",1983,"coal",NA
"560","Europe",1983,"nuclear",NA
"561","Europe",1983,"renewable",NA
"562","Europe",1984,"coal",NA
"563","Europe",1984,"nuclear",NA
"564","Europe",1984,"renewable",NA
"565","Europe",1985,"coal",NA
"566","Europe",1985,"nuclear",NA
"567","Europe",1985,"renewable",NA
"568","Europe",1986,"coal",NA
"569","Europe",1986,"nuclear",NA
"570","Europe",1986,"renewable",NA
"571","Europe",1987,"coal",NA
"572","Europe",1987,"nuclear",NA
"573","Europe",1987,"renewable",NA
"574","Europe",1988,"coal",NA
"575","Europe",1988,"nuclear",NA
"576","Europe",1988,"renewable",NA
"577","Europe",1989,"coal",NA
"578","Europe",1989,"nuclear",NA
"579","Europe",1989,"renewable",NA
"580","Europe",1990,"coal",NA
"581","Europe",1990,"nuclear",NA
"582","Europe",1990,"renewable",NA
"583","Europe",1991,"coal",NA
"584","Europe",1991,"nuclear",NA
"585","Europe",1991,"renewable",NA
"586","Europe",1992,"coal",NA
"587","Europe",1992,"nuclear",NA
"588","Europe",1992,"renewable",NA
"589","Europe",1993,"coal",NA
"590","Europe",1993,"nuclear",NA
"591","Europe",1993,"renewable",NA
"592","Europe",1994,"coal",NA
"593","Europe",1994,"nuclear",NA
"594","Europe",1994,"renewable",NA
"595","Europe",1995,"coal",NA
"596","Europe",1995,"nuclear",NA
"597","Europe",1995,"renewable",NA
"598","Europe",1996,"coal",NA
"599","Europe",1996,"nuclear",NA
"600","Europe",1996,"renewable",NA
"601","Europe",1997,"coal",NA
"602","Europe",1997,"nuclear",NA
"603","Europe",1997,"renewable",NA
"604","Europe",1998,"coal",NA
"605","Europe",1998,"nuclear",NA
"606","Europe",1998,"renewable",NA
"607","Europe",1999,"coal",NA
"608","Europe",1999,"nuclear",NA
"609","Europe",1999,"renewable",NA
"610","Europe",2000,"coal",NA
"611","Europe",2000,"nuclear",NA
"612","Europe",2000,"renewable",NA
"613","Europe",2001,"coal",NA
"614","Europe",2001,"nuclear",NA
"615","Europe",2001,"renewable",NA
"616","Europe",2002,"coal",NA
"617","Europe",2002,"nuclear",NA
"618","Europe",2002,"renewable",NA
"619","Europe",2003,"coal",NA
"620","Europe",2003,"nuclear",NA
"621","Europe",2003,"renewable",NA
"622","Europe",2004,"coal",NA
"623","Europe",2004,"nuclear",NA
"624","Europe",2004,"renewable",NA
"625","Europe",2005,"coal",NA
"626","Europe",2005,"nuclear",NA
"627","Europe",2005,"renewable",NA
"628","Europe",2006,"coal",NA
"629","Europe",2006,"nuclear",NA
"630","Europe",2006,"renewable",NA
"631","Europe",2007,"coal",NA
"632","Europe",2007,"nuclear",NA
"633","Europe",2007,"renewable",NA
"634","Europe",2008,"coal",NA
"635","Europe",2008,"nuclear",NA
"636","Europe",2008,"renewable",NA
"637","Europe",2009,"coal",NA
"638","Europe",2009,"nuclear",NA
"639","Europe",2009,"renewable",NA
"640","Europe",2010,"coal",NA
"641","Europe",2010,"nuclear",NA
"642","Europe",2010,"renewable",NA
"643","Europe",2011,"coal",NA
"644","Europe",2011,"nuclear",NA
"645","Europe",2011,"renewable",NA
"646","Europe",2012,"coal",NA
"647","Europe",2012,"nuclear",NA
"648","Europe",2012,"renewable",NA
"649","Europe",2013,"coal",NA
"650","Europe",2013,"nuclear",NA
"651","Europe",2013,"renewable",NA
"652","Europe",2014,"coal",NA
"653","Europe",2014,"nuclear",NA
"654","Europe",2014,"renewable",NA
"655","Europe",2015,"coal",NA
"656","Europe",2015,"nuclear",NA
"657","Europe",2015,"renewable",NA
"658","Europe",2016,"coal",NA
"659","Europe",2016,"nuclear",NA
"660","Europe",2016,"renewable",NA
"661","Europe",2017,"coal",122.320545454545
"662","Europe",2017,"nuclear",86.3079696969697
"663","Europe",2017,"renewable",108.572575757576
"664","Europe",2018,"coal",120.072787878788
"665","Europe",2018,"nuclear",85.8881212121212
"666","Europe",2018,"renewable",114.82696969697
"667","Europe",2019,"coal",105.658696969697
"668","Europe",2019,"nuclear",85.3509696969697
"669","Europe",2019,"renewable",117.235
"670","Europe",NA,"coal",NA
"671","Europe",NA,"nuclear",NA
"672","Europe",NA,"renewable",NA
"673","Oceania",1965,"coal",110.5795
"674","Oceania",1965,"nuclear",0
"675","Oceania",1965,"renewable",26.8785
"676","Oceania",1966,"coal",113.9985
"677","Oceania",1966,"nuclear",0
"678","Oceania",1966,"renewable",27.491
"679","Oceania",1967,"coal",116.1205
"680","Oceania",1967,"nuclear",0
"681","Oceania",1967,"renewable",28.126
"682","Oceania",1968,"coal",118.843
"683","Oceania",1968,"nuclear",0
"684","Oceania",1968,"renewable",29.5845
"685","Oceania",1969,"coal",122.838
"686","Oceania",1969,"nuclear",0
"687","Oceania",1969,"renewable",30.456
"688","Oceania",1970,"coal",124.0525
"689","Oceania",1970,"nuclear",0
"690","Oceania",1970,"renewable",33.8545
"691","Oceania",1971,"coal",123.583
"692","Oceania",1971,"nuclear",0
"693","Oceania",1971,"renewable",38.084
"694","Oceania",1972,"coal",128.9435
"695","Oceania",1972,"nuclear",0
"696","Oceania",1972,"renewable",39.3815
"697","Oceania",1973,"coal",134.9655
"698","Oceania",1973,"nuclear",0
"699","Oceania",1973,"renewable",40.227
"700","Oceania",1974,"coal",140.7575
"701","Oceania",1974,"nuclear",0
"702","Oceania",1974,"renewable",43.405
"703","Oceania",1975,"coal",144.4795
"704","Oceania",1975,"nuclear",0
"705","Oceania",1975,"renewable",46.982
"706","Oceania",1976,"coal",149.3545
"707","Oceania",1976,"nuclear",0
"708","Oceania",1976,"renewable",44.2675
"709","Oceania",1977,"coal",155.146
"710","Oceania",1977,"nuclear",0
"711","Oceania",1977,"renewable",42.1555
"712","Oceania",1978,"coal",158.361
"713","Oceania",1978,"nuclear",0
"714","Oceania",1978,"renewable",45.0305
"715","Oceania",1979,"coal",164.396
"716","Oceania",1979,"nuclear",0
"717","Oceania",1979,"renewable",48.147
"718","Oceania",1980,"coal",NA
"719","Oceania",1980,"nuclear",NA
"720","Oceania",1980,"renewable",NA
"721","Oceania",1981,"coal",NA
"722","Oceania",1981,"nuclear",NA
"723","Oceania",1981,"renewable",NA
"724","Oceania",1982,"coal",NA
"725","Oceania",1982,"nuclear",NA
"726","Oceania",1982,"renewable",NA
"727","Oceania",1983,"coal",NA
"728","Oceania",1983,"nuclear",NA
"729","Oceania",1983,"renewable",NA
"730","Oceania",1984,"coal",NA
"731","Oceania",1984,"nuclear",NA
"732","Oceania",1984,"renewable",NA
"733","Oceania",1985,"coal",NA
"734","Oceania",1985,"nuclear",NA
"735","Oceania",1985,"renewable",NA
"736","Oceania",1986,"coal",NA
